"database","sumFormula","adduct","ion","mz","msmScore","rhoSpatial","rhoSpectral","rhoChaos","fdrLevel","off_sample_label","off_sample_prob"
"ChEBI","C5H6O4","-H","C5H6O4-H-",129.019332237,0.020173065,0.0225193576727412,0.899374767294265,0.996036361119043,0.2,"on",0.345052450895309
"ChEBI","C20H20O4","-H","C20H20O4-H-",323.128882685,0.020098241,0.0218123242072342,0.936514608678488,0.983878708551483,0.2,"off",0.999971389770508
"ChEBI","C10H12N2O2","+Cl","C10H12N2O2+Cl-",227.059278921,0.020054596,0.0232725713563032,0.879940852352171,0.979300717050574,0.5,"off",0.999999642372131
"ChEBI","C3H7NO4S","-H","C3H7NO4S-H-",152.002302439,0.019925077,0.0204250513301485,0.978201627653946,0.997260128215359,0.2,"off",0.849599421024323
"ChEBI","C12H10N2","-H","C12H10N2-H-",181.077121885,0.019892454,0.0207879225513997,0.962767729393605,0.993929896045552,0.2,"off",0.999998569488525
"ChEBI","C5H11NO4","+Cl","C5H11NO4+Cl-",184.038209129,0.019845687,0.0305817611034001,0.6498191488266,0.998644986449865,0.5,"off",0.999998450279236
"ChEBI","C23H30O7","-H","C23H30O7-H-",417.191876865,0.019816237,0.0221534889329088,0.923864214065266,0.968213024061854,0.2,"off",0.999993920326233
"ChEBI","C24H20N4O","+Cl","C24H20N4O+Cl-",415.133112557,0.019803276,0.0237486720996038,0.849959196973833,0.981069146937242,0.5,"off",1
"ChEBI","C15H10O7","+Cl","C15H10O7+Cl-",337.012053957,0.019765384,0.022551386055733,0.890994479907425,0.983687146654686,0.5,"on",0.0001672856160439
"ChEBI","C21H19N2O2P","+Cl","C21H19N2O2P+Cl-",397.087816145,0.019757187,0.0234962581946308,0.851320052414769,0.987719298245614,0.5,"off",0.999988317489624
"ChEBI","C11H18O11","-H","C11H18O11-H-",325.077634961,0.019737367,0.0208460481440061,0.964100022381634,0.982072132283776,0.2,"off",0.999782502651215
"ChEBI","C5H9NO3","+Cl","C5H9NO3+Cl-",166.027644445,0.019723555,0.0222363865968042,0.895242163125866,0.990787384821852,0.5,"on",0.017675120383501
"ChEBI","C9H20N2O4S","-H","C9H20N2O4S-H-",251.107101855,0.019708809,0.0209872246519422,0.942507606034095,0.996369636963696,0.2,"off",0.999913811683655
"ChEBI","C4H8O4","-H","C4H8O4-H-",119.034982301,0.019701498,0.0201203194786151,0.986817421249861,0.992264713477475,0.2,"off",0.999995708465576
"ChEBI","C5H8O4","+Cl","C5H8O4+Cl-",167.011660033,0.019658221,0.0220303357253289,0.89573923918526,0.996188454150238,0.5,"off",0.897131264209747
"ChEBI","C6H6O4","+Cl","C6H6O4+Cl-",176.996009969,0.01962626,0.0221103916547575,0.89177406998889,0.995373985410459,0.5,"on",0.0052548265084624
"ChEBI","C12H11NO2","-H","C12H11NO2-H-",200.071702157,0.019609388,0.0208209409593579,0.963056899710123,0.977938918830639,0.2,"off",0.999999761581421
"ChEBI","C3H9O6P","-H","C3H9O6P-H-",171.006398573,0.019531628,0.0197874788398543,0.988317254235684,0.998738089366348,0.2,"on",0.0049756621010601
"ChEBI","C13H18N2O5","+Cl","C13H18N2O5+Cl-",317.090972973,0.019341094,0.0209980554913303,0.921656076062559,0.999385560675883,0.5,"off",0.999985456466675
"ChEBI","C24H30O6","-H","C24H30O6-H-",413.196962245,0.019319758,0.0210730105652256,0.921290791707564,0.995126705653021,0.2,"off",0.999783456325531
"ChEBI","C3H3ClO2","+Cl","C3H3ClO2+Cl-",140.951558333,0.019222794,0.0241952365488037,0.799095003009764,0.994233094917245,0.5,"on",0.002741485601291
"ChEBI","C12H18O6","+Cl","C12H18O6+Cl-",293.079739593,0.019205267,0.022291799337167,0.87524899605024,0.984336475707034,0.5,"off",0.999999284744263
"ChEBI","C12H22O2","-H","C12H22O2-H-",197.154703509,0.019191222,0.0201800403934993,0.963948787100871,0.986567120735825,0.2,"off",0.99999725818634
"ChEBI","C12H10N2","+Cl","C12H10N2+Cl-",217.053799617,0.019169075,0.0225388817832081,0.872677160463056,0.974574829931973,0.5,"off",0.99999988079071
"ChEBI","C8H15ClN2O2S","-H","C8H15ClN2O2S-H-",237.047000155,0.019154346,0.0219225132721579,0.878242884611408,0.994860811135109,0.2,"off",0.999997973442078
"ChEBI","C12H18N2O2","+Cl","C12H18N2O2+Cl-",257.106229113,0.019029174,0.0224333877304632,0.873140373615836,0.971496016524048,0.5,"off",1
"ChEBI","C10H17N3O3","+Cl","C10H17N3O3+Cl-",262.096392701,0.019005576,0.0216825801008936,0.881946885784428,0.993865584122688,0.5,"on",0.0035787280648946
"ChEBI","C16H14F3N3O2S","-H","C16H14F3N3O2S-H-",368.068605903,0.019001715,0.021023428070504,0.911122096866835,0.992002272888699,0.2,"off",0.999738037586212
"ChEBI","C24H20O11","-H","C24H20O11-H-",483.093285025,0.018964877,0.0208683277363139,0.920214689299987,0.98758217932578,0.2,"off",0.999398350715637
"ChEBI","C20H21F3N2O5","+Cl","C20H21F3N2O5+Cl-",461.109657549,0.01892744,0.0226923449099886,0.846115431256104,0.98578650443541,0.5,"off",0.996859312057495
"ChEBI","C11H11NO4","+Cl","C11H11NO4+Cl-",256.038209129,0.018801607,0.021319231569863,0.883050995305906,0.998705934850513,0.5,"off",0.99999475479126
"ChEBI","C7H5O6","+Cl","C7H5O6+Cl-",219.978014177,0.018791646,0.0211969369018938,0.888561809466922,0.997709385859054,0.5,"on",0.0002216256834799
"ChEBI","C19H21N3O","+Cl","C19H21N3O+Cl-",342.137863589,0.018784503,0.0223500308037422,0.849348882757413,0.989544771586586,0.5,"off",0.999891877174377
"ChEBI","C12H26O6","+Cl","C12H26O6+Cl-",301.142339849,0.01871934,0.0221553264978545,0.871330123560739,0.969682709447415,0.5,"off",0.999948501586914
"ChEBI","C27H32O6","-H","C27H32O6-H-",451.212612309,0.01870559,0.021008163840735,0.910104175415438,0.978345406023637,0.2,"off",0.99998939037323
